models,n_models,weights,accuracy,f1,roc_auc
logreg+lgbm+xgb,3,"(4, 3, 4)",0.8322,0.8307444018559612,0.9027476
logreg+lgbm+xgb,3,"(3, 3, 2)",0.8314,0.8299717628075837,0.9027461600000001
logreg+xgb,2,"(3, 4)",0.8304,0.8291011688835147,0.90274144
logreg+lgbm,2,"(5, 2)",0.8334,0.8326637203696263,0.90272956
logreg+lgbm+xgb,3,"(5, 4, 5)",0.8322,0.8307444018559612,0.90272876
logreg+lgbm+xgb,3,"(4, 4, 3)",0.8316,0.8301049233252623,0.9027282400000001
logreg+xgb,2,"(3, 1)",0.833,0.8322956416951195,0.90272252
logreg+lgbm+xgb,3,"(5, 5, 4)",0.8319,0.8303904752295429,0.9027154000000001
logreg+lgbm+xgb,3,"(4, 2, 5)",0.8313,0.8298537569339385,0.9027104
logreg+lgbm+xgb,3,"(3, 1, 4)",0.8313,0.8298537569339385,0.9027069600000001
logreg+lgbm+xgb,3,"(4, 5, 1)",0.8316,0.8302077031659609,0.90269688
logreg+lgbm,2,"(4, 5)",0.8317,0.8303256376650872,0.9026892
logreg+lgbm+xgb,3,"(4, 5, 2)",0.8316,0.8301049233252623,0.9026666000000001
logreg+lgbm+xgb,3,"(1, 1, 1)",0.832,0.8304400484457004,0.9026526400000001
logreg+lgbm+xgb,3,"(2, 2, 2)",0.832,0.8304400484457004,0.9026526400000001
logreg+lgbm+xgb,3,"(5, 5, 5)",0.832,0.8304400484457004,0.9026526400000001
logreg+lgbm+xgb,3,"(3, 3, 3)",0.832,0.8304400484457004,0.9026526400000001
logreg+lgbm+xgb,3,"(4, 4, 4)",0.832,0.8304400484457004,0.9026526400000001
logreg+xgb,2,"(2, 3)",0.83,0.8286290322580645,0.9026515600000001
logreg+lgbm,2,"(3, 1)",0.8333,0.832546459065796,0.90264676
logreg+lgbm,2,"(3, 4)",0.8316,0.8301391970950172,0.9026443599999999
logreg+lgbm+xgb,3,"(3, 4, 1)",0.8314,0.8299374621747024,0.90264128
logreg+lgbm+xgb,3,"(4, 3, 5)",0.8318,0.83020391681809,0.9026369999999999
logreg+lgbm+xgb,3,"(3, 2, 4)",0.8315,0.8299182396285455,0.90262404
logreg+lgbm+xgb,3,"(4, 5, 3)",0.8315,0.8298838970217062,0.9026094800000001
logreg+lgbm+xgb,3,"(2, 1, 3)",0.8313,0.8296819787985866,0.90260048
logreg+lgbm+xgb,3,"(3, 4, 2)",0.8312,0.8295982232990107,0.90259088
logreg+xgb,2,"(3, 5)",0.8298,0.8283582089552238,0.9025675200000001
logreg+lgbm,2,"(2, 3)",0.8316,0.8302077031659609,0.9025617600000001
logreg+xgb,2,"(4, 1)",0.8332,0.8326309452137267,0.90255956
logreg+lgbm+xgb,3,"(4, 4, 5)",0.8319,0.8302534585479148,0.9025503600000001
logreg+lgbm+xgb,3,"(3, 1, 5)",0.8306,0.8289234498081196,0.90254616
logreg+lgbm+xgb,3,"(2, 3, 1)",0.8312,0.8295982232990107,0.9025401599999999
logreg+lgbm+xgb,3,"(4, 5, 4)",0.831,0.8292929292929293,0.9025372400000001
logreg+lgbm+xgb,3,"(3, 3, 4)",0.8319,0.8302534585479148,0.90251624
logreg+lgbm+xgb,3,"(3, 4, 3)",0.8308,0.8290909090909091,0.90250416
logreg+lgbm,2,"(4, 1)",0.8337,0.8329818218338857,0.90250008
logreg+lgbm,2,"(3, 5)",0.8315,0.8299868832610231,0.9024922000000001
logreg+lgbm+xgb,3,"(3, 5, 1)",0.832,0.8304400484457004,0.90249032
logreg+lgbm+xgb,3,"(3, 2, 5)",0.8307,0.8289034866093987,0.9024792799999999
logreg+lgbm+xgb,3,"(4, 5, 5)",0.8309,0.8292436635363021,0.90245284
logreg+lgbm+xgb,3,"(2, 2, 3)",0.8314,0.8296969696969697,0.90245224
logreg+lgbm+xgb,3,"(3, 5, 2)",0.8312,0.8295982232990107,0.90244492
logreg+xgb,2,"(5, 1)",0.8329,0.8322794339054501,0.9024364400000001
logreg+lgbm+xgb,3,"(2, 3, 2)",0.8305,0.8287359806001818,0.9024325599999998
logreg+xgb,2,"(2, 4)",0.8299,0.828303219945493,0.9024138399999999
logreg+xgb,2,"(1, 2)",0.8299,0.828303219945493,0.9024138399999999
logreg+lgbm+xgb,3,"(3, 4, 4)",0.8307,0.8289726234973229,0.90240156
logreg+lgbm+xgb,3,"(3, 3, 5)",0.831,0.8292239288601455,0.90238544
logreg+lgbm,2,"(5, 1)",0.8333,0.83261371623657,0.9023762399999999
logreg+lgbm+xgb,3,"(2, 1, 4)",0.8305,0.8286667340543818,0.90237188
logreg+lgbm+xgb,3,"(3, 5, 3)",0.8306,0.8289234498081196,0.90236044
logreg+lgbm,2,"(1, 2)",0.8315,0.8299525683721869,0.90233204
logreg+lgbm,2,"(2, 4)",0.8315,0.8299525683721869,0.90233204
logreg+lgbm+xgb,3,"(2, 4, 1)",0.8312,0.8294604970701152,0.90231624
logreg+lgbm+xgb,3,"(2, 3, 3)",0.8302,0.8284155214227971,0.9022894
logreg+lgbm+xgb,3,"(3, 4, 5)",0.8306,0.8289234498081196,0.9022884
logreg+lgbm+xgb,3,"(3, 5, 4)",0.8303,0.8284992420414351,0.90227984
logreg+lgbm+xgb,3,"(1, 1, 2)",0.8309,0.8290364978263067,0.9022596
logreg+lgbm+xgb,3,"(2, 2, 4)",0.8309,0.8290364978263067,0.9022596
